,X,Y,FID,Hora,Fecha,Comuna,Cód_Tipo_,Cód_Tipo1,Cód_Zona,Cód_Ubica,Cód_Causa,Cód_Cau_1,Cód_Calza,Cód__Tipo,Cód_Estad,Cód_Condi,Cód_Est_1,Fallecidos,Graves,Menos_Grav,Leves,Encoded_mes,Encoded_comuna
45,-70.603889,-33.508644,467,20:00:00,01,MACUL,10,10,1,1,14,98,2,1,1,1,1,0,0,0,1,01,19
46,-70.741531,-33.366035,468,20:15:00,01,QUILICURA,63,40,1,1,1,27,2,1,1,1,1,0,0,0,1,01,28
47,-70.757179,-33.522121,469,22:00:00,01,MAIPU,32,30,1,11,1,91,3,1,1,1,1,0,0,0,1,01,20
48,-70.775482,-33.524471,470,22:00:00,01,MAIPU,10,10,1,11,13,97,2,1,1,1,1,0,0,0,1,01,20
49,-70.744003,-33.445671,471,22:30:00,01,PUDAHUEL,20,20,1,11,3,41,2,2,1,1,1,0,1,0,0,01,26
50,-70.7989062,-33.5270835,22102,23:00:00,01,MAIPU,32,30,1,1,1,27,3,1,1,1,1,0,0,0,0,01,20
51,-70.650772,-33.422836,454,10:00:00,01,RECOLETA,32,30,1,1,1,27,1,2,1,1,1,0,0,0,0,01,30
52,-70.590698,-33.618607,455,10:05:00,01,PUENTE ALTO,33,30,1,1,1,27,3,2,1,1,1,0,0,0,3,01,27
53,-70.5692339,-33.4706973,456,10:30:00,01,PEÑALOLEN,70,70,1,11,9,95,3,1,1,1,1,0,1,0,0,01,23
54,-70.550392,-33.466408,457,10:30:00,01,PEÑALOLEN,33,30,1,1,9,95,2,4,2,1,1,0,0,0,2,01,23
55,-70.693871,-33.454716,472,00:00:00,01,ESTACION CENTRAL,70,70,1,26,12,6,3,2,2,1,1,0,0,0,2,01,6
56,-70.665955,-33.500404,473,00:10:00,01,SAN MIGUEL,33,30,1,11,13,97,2,2,1,9,1,0,0,0,2,01,34
57,-70.632217,-33.576912,474,01:25:00,01,LA PINTANA,30,30,1,16,13,97,2,2,1,1,1,0,0,0,0,01,12
58,-70.567871,-33.456764,475,03:30:00,01,LA REINA,99,99,1,26,14,98,1,2,2,1,1,0,0,0,0,01,13
59,-70.626862,-33.604969,476,07:15:00,01,LA PINTANA,67,40,1,1,13,97,3,2,1,1,1,0,0,0,0,01,12
60,-70.619347,-33.429886,477,07:30:00,01,PROVIDENCIA,70,70,1,1,9,95,1,4,1,6,1,0,0,1,0,01,25
61,-70.710754,-33.558811,478,07:30:00,01,SAN BERNARDO,20,20,1,1,3,41,2,2,1,1,1,0,0,0,1,01,32
62,-70.71843,-33.526939,479,07:40:00,01,CERRILLOS,34,30,1,1,1,27,2,2,1,1,1,0,0,0,0,01,1
63,-70.652458,-33.377792,480,07:45:00,01,MAIPU,33,30,1,1,1,27,1,1,1,1,1,0,0,0,0,01,20
64,-70.75061,-33.361156,481,07:50:00,01,QUILICURA,31,30,1,1,1,23,3,1,1,1,1,0,0,0,0,01,28
65,-70.571548,-33.40728,482,08:00:00,01,LAS CONDES,69,40,1,26,14,98,2,2,1,1,1,0,0,0,1,01,15
66,-70.728622,-33.453495,483,08:30:00,01,LO PRADO,34,30,1,16,13,97,2,2,1,1,1,0,0,0,0,01,18
67,-70.595284,-33.41766,484,08:40:00,01,LAS CONDES,34,30,1,26,14,98,2,2,1,1,1,0,0,0,0,01,15
68,-70.606461,-33.471272,485,08:50:00,01,ÑUÑOA,32,30,1,14,1,27,1,2,1,1,1,0,0,0,1,01,39
69,-70.590469,-33.420433,486,09:30:00,01,LAS CONDES,32,30,1,26,14,98,2,2,1,1,1,0,0,0,1,01,15
70,-70.753471,-33.483425,487,09:45:00,01,MAIPU,33,30,1,1,1,28,3,2,1,1,1,0,0,0,0,01,20
71,-70.566872,-33.576324,488,20:35:00,01,PUENTE ALTO,32,30,1,1,1,93,1,1,1,1,1,0,0,0,0,01,27
72,-70.6923303,-33.4339436,489,20:45:00,01,QUINTA NORMAL,33,30,1,11,1,28,2,2,1,1,1,0,0,0,0,01,29
73,-70.7274749,-33.4126426,490,21:30:00,01,RENCA,30,30,1,1,4,24,2,1,1,1,1,0,0,0,0,01,31
74,-70.763466,-33.441936,491,22:10:00,01,PUDAHUEL,32,30,1,1,1,27,2,2,1,1,1,0,0,0,0,01,26
75,-70.506424,-33.361935,492,22:10:00,01,LO BARNECHEA,33,30,1,1,1,27,1,1,1,1,1,0,0,0,0,01,16
76,-70.667328,-33.447891,493,22:10:00,01,SANTIAGO,10,10,1,1,2,55,3,1,1,1,1,0,1,1,1,01,36
77,-70.680939,-33.281796,494,22:20:00,01,COLINA,70,70,1,1,9,95,2,2,2,1,1,0,0,0,1,01,3
78,-70.736511,-33.443958,495,22:20:00,01,LO PRADO,10,10,1,16,5,54,2,2,1,1,1,0,0,0,2,01,18
79,-70.506424,-33.361935,496,22:25:00,01,LO BARNECHEA,52,40,1,1,14,98,1,1,1,1,1,0,0,0,1,01,16
80,-70.650337,-33.539948,497,11:00:00,01,SAN RAMON,99,99,1,26,4,24,1,1,1,1,1,0,0,0,0,01,35
81,-70.624634,-33.439739,498,11:30:00,01,PROVIDENCIA,33,30,1,1,1,28,1,2,1,1,1,0,1,0,0,01,25
82,-70.641556,-33.438507,499,11:40:00,01,SANTIAGO,10,10,1,1,1,93,2,1,1,1,1,0,1,0,0,01,36
83,-70.593765,-33.424488,500,12:00:00,01,PROVIDENCIA,31,30,1,1,1,91,2,2,1,1,1,0,0,0,0,01,25
84,-70.691391,-33.431816,501,13:00:00,01,QUINTA NORMAL,63,40,1,1,14,98,1,2,1,1,1,0,0,0,0,01,29
85,-70.632805,-33.549522,502,13:30:00,01,LA GRANJA,32,30,1,11,10,62,3,1,1,1,1,0,0,0,2,01,11
86,-70.602699,-33.41872,503,13:30:00,01,PROVIDENCIA,61,40,1,1,13,97,1,2,2,1,1,0,0,0,0,01,25
87,-70.676743,-33.525627,504,14:40:00,01,LA CISTERNA,52,40,1,14,1,28,2,2,1,1,1,0,0,0,0,01,9
88,-70.665199,-33.383804,505,15:25:00,01,CONCHALI,10,10,1,1,13,97,2,1,2,1,1,0,0,1,0,01,4
89,-70.646271,-33.44273,506,15:30:00,01,SANTIAGO,32,30,1,11,13,97,3,2,1,1,1,0,0,0,0,01,36
90,-70.573555,-33.631756,507,16:25:00,01,PIRQUE,70,70,1,1,9,95,2,1,1,1,1,0,0,0,1,01,24
91,-70.580498,-33.458958,508,16:50:00,01,ÑUÑOA,30,30,1,11,1,27,2,1,1,1,1,0,0,0,0,01,39
92,-70.663689,-33.499023,509,17:15:00,01,SAN MIGUEL,51,40,1,26,13,97,2,2,1,1,1,0,0,0,0,01,34
93,-70.717979,-33.421772,510,17:16:00,01,CERRO NAVIA,30,30,1,11,13,97,2,4,1,1,1,0,0,0,0,01,2
94,-70.757622,-33.495525,511,17:30:00,01,MAIPU,20,20,1,1,13,97,3,1,1,1,1,0,0,0,1,01,20
95,-70.769928,-33.425804,512,17:30:00,01,PUDAHUEL,33,30,1,14,1,27,2,2,1,1,1,0,0,0,0,01,26
96,-70.5762866,-33.4690584,513,17:49:00,01,PEÑALOLEN,33,30,1,1,1,28,1,4,2,1,1,0,0,0,0,01,23
97,-70.657417,-33.393536,514,17:56:00,01,RECOLETA,33,30,1,11,14,99,2,2,1,1,1,0,0,1,0,01,30
98,-70.5802236,-33.5777846,515,18:00:00,01,PUENTE ALTO,32,30,1,1,1,11,3,1,1,1,1,0,0,0,0,01,27
99,-70.663719,-33.535267,516,18:05:00,01,LA CISTERNA,33,30,1,11,1,28,3,1,1,1,1,0,0,0,0,01,9
100,-70.654724,-33.469288,517,18:20:00,01,SANTIAGO,33,30,1,15,13,97,1,2,1,1,1,0,0,0,2,01,36
101,-70.718353,-33.51358,518,18:30:00,01,CERRILLOS,33,30,1,1,1,28,1,2,1,1,1,0,0,0,0,01,1
102,-70.657791,-33.513714,519,18:30:00,01,SAN MIGUEL,33,30,1,26,14,98,2,2,1,1,1,0,0,0,0,01,34
103,-70.6521253,-33.5448648,520,19:00:00,01,SAN RAMON,70,70,1,1,1,29,2,2,2,1,1,0,0,0,1,01,35
104,-70.582863,-33.45488,521,19:00:00,01,ÑUÑOA,20,20,1,11,14,98,3,2,1,1,1,0,1,0,0,01,39
105,-70.579491,-33.423553,522,19:00:00,01,LAS CONDES,61,40,1,1,1,29,2,1,1,1,1,0,0,0,1,01,15
106,-70.579491,-33.423553,523,19:00:00,01,LAS CONDES,31,30,1,1,13,97,2,1,2,1,1,0,0,0,1,01,15
107,-70.556595,-33.589294,524,19:30:00,01,PUENTE ALTO,67,40,1,4,14,98,1,1,1,1,1,0,0,0,0,01,27
108,-70.705505,-33.492855,525,19:30:00,01,CERRILLOS,34,30,1,21,1,32,2,2,1,1,1,0,0,0,0,01,1
109,-70.679153,-33.416264,526,19:30:00,01,COLINA,51,40,1,1,13,97,2,2,1,1,1,0,0,0,3,01,3
110,-70.6756503,-33.5784513,527,23:20:00,01,EL BOSQUE,63,40,1,1,1,27,3,1,1,1,1,0,0,0,2,01,5
111,-70.601631,-33.48748,528,23:30:00,01,MACUL,10,10,1,1,4,24,2,1,1,1,1,0,1,0,0,01,19
112,-70.6903899,-33.5149989,20082,18:20:00,01,LO ESPEJO,33,30,1,1,14,98,2,1,2,2,1,0,0,0,0,01,17
113,-70.7328043,-33.3677168,20180,19:55:00,01,QUILICURA,32,30,1,11,1,27,2,1,1,1,1,0,0,0,0,01,28
114,-70.7509915,-33.5308017,21223,20:00:00,01,MAIPU,33,30,1,1,1,28,2,1,1,1,1,0,0,0,0,01,20
115,-70.7173527,-33.5172485,21412,08:30:00,01,CERRILLOS,99,99,1,1,14,98,3,2,1,1,1,0,0,0,0,01,1
116,-70.7487338,-33.3962048,22782,14:15:00,01,RENCA,30,30,1,1,10,65,1,1,1,1,1,0,0,0,0,01,31
117,-70.591034,-33.614407,529,01:05:00,01,PUENTE ALTO,33,30,1,11,1,27,2,1,1,1,2,0,0,0,1,01,27
118,-70.669418,-33.404034,530,07:40:00,01,INDEPENDENCIA,40,99,1,1,14,98,2,2,2,1,1,0,0,0,0,01,8
119,-70.570465,-33.470459,531,08:10:00,01,PEÑALOLEN,33,30,1,1,1,29,3,4,2,1,1,0,0,0,1,01,23
120,-70.7498779,-33.4867478,532,08:15:00,01,MAIPU,10,10,1,11,1,27,3,1,1,1,1,0,1,0,0,01,20
121,-70.572632,-33.566887,533,08:15:00,01,PUENTE ALTO,70,70,1,4,1,27,1,1,1,1,1,0,0,0,1,01,27
122,-70.56041,-33.417145,534,08:20:00,01,LAS CONDES,63,40,1,26,14,98,2,2,1,1,1,0,0,0,1,01,15
123,-70.618515,-33.421986,535,08:20:00,01,PROVIDENCIA,32,30,1,1,1,28,2,1,1,1,1,0,0,0,1,01,25
124,-70.618515,-33.421986,536,08:20:00,01,PROVIDENCIA,33,30,1,1,13,97,1,2,1,1,1,0,0,0,1,01,25
125,-70.5528123,-33.4182526,537,08:50:00,01,LAS CONDES,52,40,1,26,14,98,1,2,1,1,1,0,0,0,0,01,15
126,-70.626808,-33.611408,538,09:00:00,01,LA PINTANA,33,30,1,11,13,97,2,2,1,1,1,0,0,0,0,01,12
127,-70.594864,-33.39579,539,09:10:00,01,VITACURA,32,30,1,16,13,97,2,2,1,1,1,0,0,0,1,01,38
128,-70.681618,-33.482353,540,09:17:00,01,PEDRO AGUIRRE CERDA,51,40,1,1,9,95,2,2,2,1,1,0,1,0,0,01,22
129,-70.539268,-33.481785,541,09:20:00,01,PEÑALOLEN,33,30,1,16,1,27,2,1,1,1,1,0,0,0,2,01,23
130,-70.651482,-33.428608,542,09:30:00,01,INDEPENDENCIA,10,10,1,11,14,99,1,2,1,1,1,0,0,0,1,01,8
131,-70.557281,-33.556011,543,10:00:00,01,PUENTE ALTO,67,40,1,1,13,97,1,1,1,1,1,0,0,0,0,01,27
132,-70.703094,-33.403385,544,10:00:00,01,RENCA,20,20,1,1,14,98,2,1,1,1,1,0,1,0,0,01,31
133,-70.64769,-33.180485,545,10:05:00,01,COLINA,32,30,1,1,1,29,2,2,1,1,1,0,0,0,0,01,3
134,-70.757401,-33.509026,546,10:30:00,01,MAIPU,32,30,1,26,13,97,3,1,2,1,1,0,0,0,0,01,20
135,-70.6501705,-33.5362036,547,11:00:00,01,LA CISTERNA,32,30,1,14,10,65,2,1,1,1,1,0,0,0,0,01,9
136,-70.67363,-33.201942,548,11:20:00,01,COLINA,32,30,1,1,13,97,2,2,1,1,1,0,0,0,0,01,3
137,-70.67363,-33.201942,549,11:20:00,01,COLINA,33,30,1,1,13,97,2,2,1,1,1,0,0,0,0,01,3
138,-70.637444,-33.375534,550,13:30:00,01,HUECHURABA,10,10,1,1,1,27,3,2,1,1,1,0,0,0,1,01,7
139,-70.6736739,-33.4493213,551,14:13:00,01,SANTIAGO,10,10,1,1,2,55,3,1,1,1,1,0,1,0,0,01,36
140,-70.597237,-33.407413,552,14:30:00,01,LAS CONDES,32,30,1,26,14,98,2,2,1,1,1,0,0,0,0,01,15
141,-70.673714,-33.552361,553,15:00:00,01,EL BOSQUE,34,30,1,1,1,32,3,1,1,1,1,0,0,0,1,01,5
142,-70.561035,-33.502163,554,16:00:00,01,PEÑALOLEN,32,30,1,14,10,65,2,1,1,1,1,0,0,0,0,01,23
143,-70.560631,-33.466469,555,16:00:00,01,PEÑALOLEN,33,30,1,1,1,27,2,4,2,1,1,0,0,0,0,01,23
144,-70.738342,-33.503513,556,16:30:00,01,CERRILLOS,32,30,1,1,13,97,1,2,1,1,1,0,0,0,0,01,1
145,-70.744423,-33.504143,557,16:30:00,01,MAIPU,51,40,1,1,13,97,2,1,1,1,1,0,0,0,1,01,20
146,-70.664818,-33.538818,558,17:20:00,01,LA CISTERNA,32,30,1,11,1,28,3,1,1,1,1,0,0,0,0,01,9
